Title	URL	Assignees	Status	Task Type	Nature	Epic	Sprint	Expected time	Actual time
Notifications Backend	https://github.com/Assocify-Team/Assocify/issues/207	ortoLover	Product Backlog	Frontend : Functionality	Sprint Task	Profile		8	
UI for profile : Notifications settings	https://github.com/Assocify-Team/Assocify/issues/172	Mai-LinhC	Product Backlog	Frontend : UI	Sprint Task			4	
UI for profile : Security/Privacy settings	https://github.com/Assocify-Team/Assocify/issues/171	Mai-LinhC	Product Backlog					4	
UI for profile : Association roles management	https://github.com/Assocify-Team/Assocify/issues/230		Product Backlog						
Permissions for treasury	https://github.com/Assocify-Team/Assocify/issues/323	sarahbadr17	Sprint Tasks	Frontend : Functionality		Accounting	Sprint 9	8	
Pick task location	https://github.com/Assocify-Team/Assocify/issues/201	Polymeth	Sprint Tasks	Frontend : Functionality	Sprint Task		Sprint 9	4	
GPS sensor on the map	https://github.com/Assocify-Team/Assocify/issues/326	Polymeth	Sprint Tasks				Sprint 9	7	
Profile pictures	https://github.com/Assocify-Team/Assocify/issues/262	SekoiaTree	Sprint Tasks	Frontend : Functionality	Sprint Task	Profile	Sprint 9	5	
Association logo (load of image)	https://github.com/Assocify-Team/Assocify/issues/338	SekoiaTree	Sprint Tasks				Sprint 9	5	
Fix : No user in Receipt entity	https://github.com/Assocify-Team/Assocify/issues/306	SekoiaTree	Sprint Tasks	Backend	Sprint Task	Receipts	Sprint 9	0.5	
Add error messages in create/select asso + login	https://github.com/Assocify-Team/Assocify/issues/336	SekoiaTree	Sprint Tasks				Sprint 9	3	
Association settings UI	https://github.com/Assocify-Team/Assocify/issues/327	Mai-LinhC	Sprint Tasks				Sprint 9	4	
Association settings VM	https://github.com/Assocify-Team/Assocify/issues/328	Mai-LinhC	Sprint Tasks				Sprint 9	10	
Permissions for Assoc Settings: Event create / modify	https://github.com/Assocify-Team/Assocify/issues/324	SidonieBouthors	Sprint Tasks	Frontend : Functionality	Sprint Task	Profile	Sprint 9	2	
Permissions for Assoc Setting : Tags create / modify	https://github.com/Assocify-Team/Assocify/issues/325	SidonieBouthors	Sprint Tasks	Frontend : Functionality	Sprint Task	Profile	Sprint 9	2	
Snackbar Gestionnaire	https://github.com/Assocify-Team/Assocify/issues/352	SidonieBouthors	Sprint Tasks	Frontend : Functionality	Sprint Task	Misc	Sprint 9	3	
Drag down to reload	https://github.com/Assocify-Team/Assocify/issues/353	SidonieBouthors	Sprint Tasks	Frontend : Functionality	Sprint Task	Misc	Sprint 9	4	
Add logout to profile error	https://github.com/Assocify-Team/Assocify/issues/354	SidonieBouthors	Sprint Tasks	Frontend : Functionality	Sprint Task	Profile	Sprint 9	1	
Add a license to the projet	https://github.com/Assocify-Team/Assocify/issues/342	zizouet	Done in Sprint 9	Extra	Sprint Task		Sprint 9	0	0
Mini code cleanup	https://github.com/Assocify-Team/Assocify/issues/350	zizouet	Done in Sprint 9	Bug Fix			Sprint 9	0.5	0.5
Add new subcategory viewmodel	https://github.com/Assocify-Team/Assocify/issues/351	SidonieBouthors	Done in Sprint 9	Frontend : Functionality	Sprint Task	Accounting	Sprint 9	3	3.5
Bugfix: New category UI	https://github.com/Assocify-Team/Assocify/issues/340	sarahbadr17	Done in Sprint 8	Frontend : UI		Accounting	Sprint 8	1.5	2
Handle year filter and year List in treasury	https://github.com/Assocify-Team/Assocify/issues/285	ortoLover	Done in Sprint 8	Frontend : Functionality	Sprint Task	Accounting	Sprint 8	4	6
Treasury : TVA & Year filters	https://github.com/Assocify-Team/Assocify/issues/276	ortoLover	Done in Sprint 8	Frontend : Functionality	Sprint Task	Accounting	Sprint 8	2	5
Create Budget ViewModel and UI	https://github.com/Assocify-Team/Assocify/issues/225	ortoLover	Done in Sprint 8	Frontend : Functionality	Sprint Task	Accounting	Sprint 8	7	12
Create Balance ViewModel and UI	https://github.com/Assocify-Team/Assocify/issues/226	ortoLover	Done in Sprint 8	Frontend : UI	Sprint Task	Accounting	Sprint 8	7	14
Loading screen for treasury	https://github.com/Assocify-Team/Assocify/issues/321	SidonieBouthors	Done in Sprint 8	Frontend : UI	Sprint Task	Accounting	Sprint 8	3	4
Adapt profile to what will be functional	https://github.com/Assocify-Team/Assocify/issues/334	Mai-LinhC	Done in Sprint 8				Sprint 8	1	2
One map per event	https://github.com/Assocify-Team/Assocify/issues/208	Polymeth	Done in Sprint 8			Task Map	Sprint 8	4	2
Viewmodel for tasks map : Add pins	https://github.com/Assocify-Team/Assocify/issues/125	Polymeth	Done in Sprint 8				Sprint 8	6	6
Cache system for the map tiles	https://github.com/Assocify-Team/Assocify/issues/282	Polymeth	Done in Sprint 8			Task Map	Sprint 8	2	3
Add caching to APIs	https://github.com/Assocify-Team/Assocify/issues/206	SekoiaTree	Done in Sprint 8	Backend	Sprint Task	Misc	Sprint 7	8	12
Viewmodel for subcategories: implement search	https://github.com/Assocify-Team/Assocify/issues/260	sarahbadr17	Done in Sprint 8	Frontend		Accounting	Sprint 8	4	2
Bugfix : Problem with cache when joining asso	https://github.com/Assocify-Team/Assocify/issues/333	Mai-LinhC	Done in Sprint 8				Sprint 8	2	3.5
Text inputs are multiline	https://github.com/Assocify-Team/Assocify/issues/331	SekoiaTree	Done in Sprint 8	Frontend : Functionality	Sprint Task	Misc	Sprint 8	2	2
Association Util : Check if name is valid (not too long, not the same as already existing one ?)	https://github.com/Assocify-Team/Assocify/issues/131	Mai-LinhC, SekoiaTree	Done in Sprint 8	Backend	Sprint Task		Sprint 8	2	3.5
Image Loading	https://github.com/Assocify-Team/Assocify/issues/314	SidonieBouthors	Done in Sprint 8	Frontend : Functionality	Sprint Task	Receipts	Sprint 8	2	3
Fix budget/ balance screens : add padding at the bottom to be able to see the total	https://github.com/Assocify-Team/Assocify/issues/286	Mai-LinhC	Done in Sprint 8				Sprint 8	0.5	0.5
Edit an accounting subcategory	https://github.com/Assocify-Team/Assocify/issues/254	sarahbadr17	Done in Sprint 8	Frontend			Sprint 8	5	10
Task duration & Schedule Collisions	https://github.com/Assocify-Team/Assocify/issues/257	SidonieBouthors	Done in Sprint 8			Tasks	Sprint 8	5	7.5
BugFix: link detailedScreen to corresponding Subcategory in AccountingScreen	https://github.com/Assocify-Team/Assocify/issues/269	sarahbadr17	Done in Sprint 8	Frontend	Sprint Task	Accounting	Sprint 8	2	2
Schedule ViewModel	https://github.com/Assocify-Team/Assocify/issues/259	SidonieBouthors	Done in Sprint 8	Frontend : Functionality	Sprint Task	Tasks	Sprint 8	5	6
Bugfix: event time is loaded as 2 hours earlier than what was input	https://github.com/Assocify-Team/Assocify/issues/298	SidonieBouthors	Done in Sprint 8				Sprint 8	2	2
Link subcategories to Budget/Balance Items	https://github.com/Assocify-Team/Assocify/issues/280	zizouet	Done in Sprint 8	Backend	Sprint Task	Accounting	Sprint 8	3	2
User parameter API	https://github.com/Assocify-Team/Assocify/issues/261	zizouet	Done in Sprint 8	Backend	Sprint Task	Profile	Sprint 8	4	5
Allow changing the category of an Item	https://github.com/Assocify-Team/Assocify/issues/289	zizouet	Done in Sprint 8	Backend	Sprint Task	Accounting	Sprint 8	0.5	0.5
Bugfix: receipt amount, dot/comma crash & delete error	https://github.com/Assocify-Team/Assocify/issues/294	SidonieBouthors	Done in Sprint 8				Sprint 8	2	1.5
Bugfix: join association	https://github.com/Assocify-Team/Assocify/issues/330	Mai-LinhC	Done in Sprint 8				Sprint 8	0.5	0.5
Bugfix: task cache delete	https://github.com/Assocify-Team/Assocify/issues/345		Done in Sprint 8	Backend	Sprint Task	Tasks	Sprint 8	0.5	0.5
Fix : TVA is only displayed in total	https://github.com/Assocify-Team/Assocify/issues/348	ortoLover	Done in Sprint 8				Sprint 8	0.5	0.5
User Story : As a member of multiple associations, I want to keep track of the news of all of them quickly to plan my future tasks			Sprint Backlog						
User Story: As a treasurer, I want to quickly see new pending receipts			Sprint Backlog						
User Story: As a member of an assoc, I want to see the event of my association			Sprint Backlog						
User Story: As a president / admin of my assoc, I want to be able to add new events			Sprint Backlog						
User Story: As a comitee member of my assoc, I want to be able to see the list of members and manage it			Sprint Backlog						
User Story: as a member of an assoc, I want to be able to see when a new member just joined			Sprint Backlog						
UI of Waiting Tasks on Home Screen	https://github.com/Assocify-Team/Assocify/issues/355	ortoLover	Sprint Tasks	Frontend : UI	Sprint Task	Home Page	Sprint 9	7	
ViewModel of waiting tasks on Home Screen	https://github.com/Assocify-Team/Assocify/issues/356	ortoLover	Sprint Tasks	Frontend : Functionality	Sprint Task	Home Page	Sprint 9	8	
Link event to an association (in DB)	https://github.com/Assocify-Team/Assocify/issues/360	zizouet	Sprint Tasks	Backend			Sprint 9	4	
Link event to an association (in app)	https://github.com/Assocify-Team/Assocify/issues/361	zizouet	Sprint Tasks	Frontend : Functionality			Sprint 9	4	
Link receipt to an association	https://github.com/Assocify-Team/Assocify/issues/362	zizouet	Sprint Tasks				Sprint 9	4	
